matricula;cpf_id;nome;codigo_curso;curso;campus;situacao_academica
20261001            ;123.456.789-01;Ana Silva Santos                                                                                    ;CC01      ;Ciência da Computação                                                                               ;Campus Centro                                     ;Ativo                         
20261002            ;234.567.890-12;Bruno Oliveira Costa                                                                                ;CC01      ;Ciência da Computação                                                                               ;Campus Centro                                     ;Ativo                         
20261003            ;345.678.901-23;Carolina Mendes Lima                                                                                ;ADM01     ;Administração                                                                                       ;Campus Norte                                      ;Ativo                         
20261004            ;456.789.012-34;Daniel Souza Pereira                                                                                ;ENG01     ;Engenharia Civil                                                                                    ;Campus Sul                                        ;Ativo                         
20261005            ;567.890.123-45;Eduarda Ferreira Alves                                                                              ;MED01     ;Medicina                                                                                            ;Campus Centro                                     ;Ativo                         
20261006            ;678.901.234-56;Felipe Rodrigues Santos                                                                             ;DIR01     ;Direito                                                                                             ;Campus Norte                                      ;Trancado                      
20261007            ;789.012.345-67;Gabriela Lima Oliveira                                                                              ;CC01      ;Ciência da Computação                                                                               ;Campus Centro                                     ;Ativo                         
20261008            ;890.123.456-78;Henrique Costa Mendes                                                                               ;ADM01     ;Administração                                                                                       ;Campus Sul                                        ;Ativo                         
20261009            ;901.234.567-89;Isabella Santos Ferreira                                                                            ;ENG01     ;Engenharia Civil                                                                                    ;Campus Norte                                      ;Concluído                     
20261010            ;012.345.678-90;João Pedro Alves                                                                                    ;MED01     ;Medicina                                                                                            ;Campus Centro                                     ;Ativo                         
20261011            ;111.222.333-44;Juliana Pereira Rodrigues                                                                           ;DIR01     ;Direito                                                                                             ;Campus Sul                                        ;Ativo                         
20261012            ;222.333.444-55;Lucas Oliveira Lima                                                                                 ;CC01      ;Ciência da Computação                                                                               ;Campus Norte                                      ;Ativo                         
20261013            ;333.444.555-66;Mariana Costa Santos                                                                                ;ADM01     ;Administração                                                                                       ;Campus Centro                                     ;Trancado                      
20261014            ;444.555.666-77;Matheus Ferreira Mendes                                                                             ;ENG01     ;Engenharia Civil                                                                                    ;Campus Sul                                        ;Ativo                         
20261015            ;555.666.777-88;Natália Souza Alves                                                                                 ;MED01     ;Medicina                                                                                            ;Campus Norte                                      ;Ativo                         
20261016            ;666.777.888-99;Pedro Henrique Lima                                                                                 ;DIR01     ;Direito                                                                                             ;Campus Centro                                     ;Concluído                     
20261017            ;777.888.999-00;Rafaela Mendes Costa                                                                                ;CC01      ;Ciência da Computação                                                                               ;Campus Sul                                        ;Ativo                         
20261018            ;888.999.000-11;Ricardo Santos Oliveira                                                                             ;ADM01     ;Administração                                                                                       ;Campus Norte                                      ;Ativo                         
20261019            ;999.000.111-22;Sofia Pereira Rodrigues                                                                             ;ENG01     ;Engenharia Civil                                                                                    ;Campus Centro                                     ;Ativo                         
20261020            ;101.112.131-41;Thiago Alves Ferreira                                                                               ;MED01     ;Medicina                                                                                            ;Campus Sul                                        ;Trancado                      
20261021            ;121.314.151-61;Amanda Lima Santos                                                                                  ;DIR01     ;Direito                                                                                             ;Campus Norte                                      ;Ativo                         
20261022            ;141.516.171-81;André Costa Mendes                                                                                  ;CC01      ;Ciência da Computação                                                                               ;Campus Centro                                     ;Ativo                         
20261023            ;161.718.192-02;Beatriz Oliveira Souza                                                                              ;ADM01     ;Administração                                                                                       ;Campus Sul                                        ;Ativo                         
20261024            ;182.021.222-32;Carlos Eduardo Ferreira                                                                             ;ENG01     ;Engenharia Civil                                                                                    ;Campus Norte                                      ;Concluído                     
20261025            ;202.223.242-52;Daniela Rodrigues Lima                                                                              ;MED01     ;Medicina                                                                                            ;Campus Centro                                     ;Ativo                         
20261026            ;222.425.262-72;Eduardo Santos Costa                                                                                ;DIR01     ;Direito                                                                                             ;Campus Sul                                        ;Ativo                         
20261027            ;242.627.282-92;Fernanda Mendes Alves                                                                               ;CC01      ;Ciência da Computação                                                                               ;Campus Norte                                      ;Ativo                         
20261028            ;262.829.303-13;Gabriel Pereira Oliveira                                                                            ;ADM01     ;Administração                                                                                       ;Campus Centro                                     ;Trancado                      
20261029            ;283.031.323-33;Helena Lima Ferreira                                                                                ;ENG01     ;Engenharia Civil                                                                                    ;Campus Sul                                        ;Ativo                         
20261030            ;303.233.343-43;Igor Souza Rodrigues                                                                                ;MED01     ;Medicina                                                                                            ;Campus Norte                                      ;Ativo                         
20261031            ;323.435.363-53;Júlia Costa Santos                                                                                  ;DIR01     ;Direito                                                                                             ;Campus Centro                                     ;Ativo                         
20261032            ;343.637.383-73;Leonardo Mendes Oliveira                                                                            ;CC01      ;Ciência da Computação                                                                               ;Campus Sul                                        ;Concluído                     
20261033            ;363.839.404-14;Larissa Ferreira Lima                                                                               ;ADM01     ;Administração                                                                                       ;Campus Norte                                      ;Ativo                         
20261034            ;384.041.424-24;Marcelo Alves Costa                                                                                 ;ENG01     ;Engenharia Civil                                                                                    ;Campus Centro                                     ;Ativo                         
20261035            ;404.243.444-44;Nicole Rodrigues Santos                                                                             ;MED01     ;Medicina                                                                                            ;Campus Sul                                        ;Ativo                         
20261036            ;424.445.464-54;Otávio Lima Pereira                                                                                 ;DIR01     ;Direito                                                                                             ;Campus Norte                                      ;Trancado                      
20261037            ;444.647.484-64;Patrícia Souza Mendes                                                                               ;CC01      ;Ciência da Computação                                                                               ;Campus Centro                                     ;Ativo                         
20261038            ;464.849.505-05;Rafael Costa Ferreira                                                                               ;ADM01     ;Administração                                                                                       ;Campus Sul                                        ;Ativo                         
20261039            ;485.051.525-15;Sabrina Oliveira Alves                                                                              ;ENG01     ;Engenharia Civil                                                                                    ;Campus Norte                                      ;Concluído                     
20261040            ;505.253.545-25;Vinícius Mendes Rodrigues                                                                           ;MED01     ;Medicina                                                                                            ;Campus Centro                                     ;Ativo                         
