matricula;estudante;programa;inicio_bolsa;situacao_beneficio
20230001;Joao Silva;MAIS FUTURO;2023-01-15;ATIVO
20230006;Julia Lima;MAIS FUTURO;2023-03-01;ATIVO
20230016;Patricia Carvalho;MAIS FUTURO;2023-07-13;ATIVO
20230026;Joao Silva;MAIS FUTURO;2024-03-27;ATIVO
20230036;Rafael Mendes;MAIS FUTURO;2023-03-10;ATIVO
20230056;Rafael Mendes;MAIS FUTURO;2023-03-20;ATIVO
20230061;Patricia Carvalho;MAIS FUTURO;2024-06-24;ATIVO
20230066;Joao Silva;MAIS FUTURO;2023-05-10;ATIVO
20230081;Patricia Carvalho;MAIS FUTURO;2023-01-14;ATIVO
20230086;Joao Silva;MAIS FUTURO;2023-04-24;ATIVO
20230091;Julia Lima;MAIS FUTURO;2023-01-11;ATIVO
20230096;Rafael Mendes;MAIS FUTURO;2023-11-28;ATIVO
1234567;Patricia Carvalho;MAIS FUTURO;2024-03-01;ATIVO
ABCDEF12;Joao Silva;MAIS FUTURO;2024-01-21;ATIVO
20230001;Joao Silva;MAIS FUTURO;2023-08-05;ATIVO
20230006;Julia Lima;MAIS FUTURO;2023-09-15;ATIVO
20230016;Patricia Carvalho;MAIS FUTURO;2024-01-10;ATIVO
20230026;Joao Silva;MAIS FUTURO;2023-12-20;ATIVO
20230036;Rafael Mendes;MAIS FUTURO;2024-02-14;ATIVO
20230056;Rafael Mendes;MAIS FUTURO;2023-06-30;ATIVO
20230061;Patricia Carvalho;MAIS FUTURO;2023-10-08;ATIVO
20230066;Joao Silva;MAIS FUTURO;2024-04-18;ATIVO
20230081;Patricia Carvalho;MAIS FUTURO;2023-05-22;ATIVO
20230086;Joao Silva;MAIS FUTURO;2023-11-03;ATIVO
20230091;Julia Lima;MAIS FUTURO;2024-05-12;ATIVO
20230096;Rafael Mendes;MAIS FUTURO;2023-07-25;ATIVO
1234567;Patricia Carvalho;MAIS FUTURO;2023-02-18;ATIVO
ABCDEF12;Joao Silva;MAIS FUTURO;2024-06-01;ATIVO
20230001;Joao Silva;MAIS FUTURO;2023-04-07;ATIVO
20230006;Julia Lima;MAIS FUTURO;2024-01-28;ATIVO
20230016;Patricia Carvalho;MAIS FUTURO;2023-09-09;ATIVO
20230026;Joao Silva;MAIS FUTURO;2024-02-05;ATIVO
20230036;Rafael Mendes;MAIS FUTURO;2023-12-12;ATIVO
20230056;Rafael Mendes;MAIS FUTURO;2024-03-15;ATIVO
20230061;Patricia Carvalho;MAIS FUTURO;2023-08-20;ATIVO
20230066;Joao Silva;MAIS FUTURO;2024-05-30;ATIVO
20230081;Patricia Carvalho;MAIS FUTURO;2023-06-14;ATIVO
20230086;Joao Silva;MAIS FUTURO;2024-04-02;ATIVO
20230091;Julia Lima;MAIS FUTURO;2023-10-25;ATIVO
20230096;Rafael Mendes;MAIS FUTURO;2024-01-08;ATIVO
