matricula;estudante;programa;inicio_bolsa;inicio_bolsa_iso;situacao_beneficio;flag_valido;motivos_rejeicao;fonte
20230001;Joao Silva;MAIS FUTURO;2023-01-15;2023-01-15;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230016;Patricia Carvalho;MAIS FUTURO;2023-07-13;2023-07-13;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230026;Joao Silva;MAIS FUTURO;2024-03-27;2024-03-27;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230036;Rafael Mendes;MAIS FUTURO;2023-03-10;2023-03-10;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230056;Rafael Mendes;MAIS FUTURO;2023-03-20;2023-03-20;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230061;Patricia Carvalho;MAIS FUTURO;2024-06-24;2024-06-24;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230066;Joao Silva;MAIS FUTURO;2023-05-10;2023-05-10;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230081;Patricia Carvalho;MAIS FUTURO;2023-01-14;2023-01-14;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230091;Julia Lima;MAIS FUTURO;2023-01-11;2023-01-11;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230096;Rafael Mendes;MAIS FUTURO;2023-11-28;2023-11-28;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
1234567;Patricia Carvalho;MAIS FUTURO;2024-03-01;2024-03-01;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
ABCDEF12;Joao Silva;MAIS FUTURO;2024-01-21;2024-01-21;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230001;Joao Silva;MAIS FUTURO;2023-08-05;2023-08-05;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230016;Patricia Carvalho;MAIS FUTURO;2024-01-10;2024-01-10;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230026;Joao Silva;MAIS FUTURO;2023-12-20;2023-12-20;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230036;Rafael Mendes;MAIS FUTURO;2024-02-14;2024-02-14;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230056;Rafael Mendes;MAIS FUTURO;2023-06-30;2023-06-30;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230061;Patricia Carvalho;MAIS FUTURO;2023-10-08;2023-10-08;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230066;Joao Silva;MAIS FUTURO;2024-04-18;2024-04-18;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230081;Patricia Carvalho;MAIS FUTURO;2023-05-22;2023-05-22;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230091;Julia Lima;MAIS FUTURO;2024-05-12;2024-05-12;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230096;Rafael Mendes;MAIS FUTURO;2023-07-25;2023-07-25;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
1234567;Patricia Carvalho;MAIS FUTURO;2023-02-18;2023-02-18;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
ABCDEF12;Joao Silva;MAIS FUTURO;2024-06-01;2024-06-01;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230001;Joao Silva;MAIS FUTURO;2023-04-07;2023-04-07;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230016;Patricia Carvalho;MAIS FUTURO;2023-09-09;2023-09-09;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230026;Joao Silva;MAIS FUTURO;2024-02-05;2024-02-05;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230036;Rafael Mendes;MAIS FUTURO;2023-12-12;2023-12-12;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230056;Rafael Mendes;MAIS FUTURO;2024-03-15;2024-03-15;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230061;Patricia Carvalho;MAIS FUTURO;2023-08-20;2023-08-20;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230066;Joao Silva;MAIS FUTURO;2024-05-30;2024-05-30;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230081;Patricia Carvalho;MAIS FUTURO;2023-06-14;2023-06-14;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230091;Julia Lima;MAIS FUTURO;2023-10-25;2023-10-25;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
20230096;Rafael Mendes;MAIS FUTURO;2024-01-08;2024-01-08;ATIVO;N;MATRICULA_SEM_CADASTRO;cadastro_bolsistas
