matricula_pseudonimizada;cpf_pseudonimizado;nome_pseudonimizado;codigo_curso;curso;campus;situacao_academica;flag_valido;motivos_rejeicao
MAT-7e5d8f0263;CPF-2687fa47a7d6;Pessoa-3bd8705f;C01;Engenharia de Software;Campus Central;ATIVO;Y;
MAT-eca5a247bd;CPF-2ad0d247eeb9;Pessoa-afb7e6dc;C02;Ciencia da Computacao;Campus Norte;TRANCADO;Y;
MAT-844b61b829;CPF-0faf17f0fb31;Pessoa-6357d88e;C03;Administracao;Campus Sul;FORMADO;Y;
MAT-ce950a87fe;CPF-431e81e23290;Pessoa-0a4c3edb;C04;Direito;Campus Leste;JUBILADO;Y;
MAT-656e24330f;CPF-e70c3d4887d1;Pessoa-c1c7170b;C01;Engenharia de Software;Campus Central;CANCELADO;Y;
MAT-64a34d3452;CPF-5efe51c65b5d;Pessoa-1450b257;C02;Ciencia da Computacao;Campus Norte;ATIVO;Y;
MAT-cd164a8c1e;CPF-d2730392e710;Pessoa-85530061;C03;Administracao;Campus Sul;TRANCADO;Y;
MAT-293f764779;CPF-b27209e89e90;Pessoa-aa46206f;C04;Direito;Campus Leste;FORMADO;Y;
MAT-5adc0049e0;CPF-db21b8cc6606;Pessoa-31be39b0;C01;Engenharia de Software;Campus Central;JUBILADO;Y;
MAT-49adb1a4df;CPF-b2cd6a9ccd71;Pessoa-0a8d4c3e;C02;Ciencia da Computacao;Campus Norte;CANCELADO;Y;
MAT-3ffaf50251;CPF-3a536c9fcf77;Pessoa-b64babe8;;;Campus Central;ATIVO;Y;
MAT-b3252d4385;CPF-90bdb56dba07;Pessoa-01e7d854;;;Campus Norte;TRANCADO;Y;
MAT-13111c9538;CPF-e9576d0a8dbe;Pessoa-eb259c31;;;Campus Sul;FORMADO;Y;
MAT-d515882178;CPF-9b47260af3ea;Pessoa-88969a1a;;;Campus Leste;JUBILADO;Y;
MAT-d84e82a97d;CPF-30f8907070df;Pessoa-6e71576a;;;Campus Central;CANCELADO;Y;
MAT-81c5a06128;CPF-e0e3e56195b7;Pessoa-31be39b0;C04;Direito;Campus Leste;TRANCADO ;Y;
MAT-009489449e;CPF-1f8294edc2bf;Pessoa-0a8d4c3e;C01;Engenharia de Software;Campus Central;formado;Y;
MAT-21832484a7;CPF-54218d28e1fb;Pessoa-b64babe8;C02;Ciencia da Computacao;Campus Norte;Ativo;Y;
MAT-831ff5312b;CPF-d39fcbe656fe;Pessoa-01e7d854;C03;Administracao;Campus Sul;Cancelado;Y;
MAT-b77713c775;CPF-b462663d6918;Pessoa-eb259c31;C04;Direito;Campus Leste;Jubilado;Y;
MAT-69ae5dd9c2;CPF-a96fb099c9fe;Pessoa-88969a1a;C01;Engenharia de Software;Campus Central;ATIVO ;Y;
MAT-e2676b7c4f;CPF-b0b0e07c3657;Pessoa-4e34b3f2;C03;Administracao;Campus Sul;ATIVO;Y;
MAT-84d079c22e;CPF-3c92da36dcd5;Pessoa-3bd8705f;C01;Engenharia de Software;Campus Central;ATIVO;Y;
MAT-5cbbffe3c4;CPF-3c92da36dcd5;Pessoa-afb7e6dc;C02;Ciencia da Computacao;Campus Norte;TRANCADO;Y;
MAT-9e5c7bb4d8;CPF-bd5b0310b68c;Pessoa-6357d88e;C03;Administracao;Campus Sul;FORMADO;Y;
MAT-1dbfc0031c;CPF-bd5b0310b68c;Pessoa-0a4c3edb;C04;Direito;Campus Leste;JUBILADO;Y;
MAT-45a7bb8bd3;CPF-586dbd3d7df4;Pessoa-c1c7170b;C01;Engenharia de Software;Campus Central;CANCELADO;Y;
MAT-60ea501eac;CPF-586dbd3d7df4;Pessoa-1450b257;C02;Ciencia da Computacao;Campus Norte;ATIVO;Y;
MAT-dfdc1dc916;CPF-09a8d937b17a;Pessoa-85530061;C03;Administracao;Campus Sul;TRANCADO;Y;
MAT-acaa8ede7e;CPF-09a8d937b17a;Pessoa-aa46206f;C04;Direito;Campus Leste;FORMADO;Y;
MAT-ce7f981852;CPF-463222884392;Pessoa-31be39b0;C01;Engenharia de Software;Campus Central;JUBILADO;Y;
MAT-68484b6dc9;CPF-463222884392;Pessoa-0a8d4c3e;C02;Ciencia da Computacao;Campus Norte;CANCELADO;Y;
MAT-b193dfb992;CPF-5df49069e663;Pessoa-b64babe8;C03;Administracao;Campus Sul;ATIVO;Y;
MAT-059df27a5f;CPF-5df49069e663;Pessoa-01e7d854;C04;Direito;Campus Leste;TRANCADO;Y;
MAT-57ec5aba15;CPF-1f93d39abdf5;Pessoa-eb259c31;C01;Engenharia de Software;Campus Central;FORMADO;Y;
MAT-7be16029c4;CPF-1f93d39abdf5;Pessoa-88969a1a;C02;Ciencia da Computacao;Campus Norte;JUBILADO;Y;
MAT-ba9033b0f9;CPF-5ff0b4ca02ce;Pessoa-6e71576a;C03;Administracao;Campus Sul;CANCELADO;Y;
