matricula;cpf_id;nome;codigo_curso;curso;campus;situacao_academica;flag_valido
20230003;33333333303;Carlos Souza;C03;Administracao;Campus Sul;FORMADO;Y
20230006;66666666606;Julia Lima;C02;Ciencia da Computacao;Campus Norte;ATIVO;Y
20230009;99999999909;Lucas Alves;C01;Engenharia de Software;Campus Central;JUBILADO;Y
20230074;50505050550;Lucas Alves;C04;Direito;Campus Leste;TRANCADO ;Y
20230077;53535353553;Camila Ferreira;C03;Administracao;Campus Sul;Cancelado;Y
20230086;62626262662;Joao Silva;C01;Engenharia de Software;Campus Central;ATIVO;Y
20230089;63636363663;Ana Pereira;C04;Direito;Campus Leste;JUBILADO;Y
20230092;65656565665;Marcos Rocha;C03;Administracao;Campus Sul;TRANCADO;Y
20230095;66666666666;Beatriz Dias;C02;Ciencia da Computacao;Campus Norte;CANCELADO;Y
20230098;68686868668;Bruno Gomes;C01;Engenharia de Software;Campus Central;FORMADO;Y
